contract_sk,contract_id,adviser_sk,client_sk,product_sk,signing_date_sk,contract_value,commission,premium_monthly,duration_months,status
1,C-0000001,13,1219,6,20251128,14383.01,684.68,79.91,180,Active
2,C-0000002,50,1192,8,20240227,126525.82,5516.93,702.92,180,Completed
3,C-0000003,36,1048,13,20211214,90312.13,1926.67,,60,Completed
4,C-0000004,45,276,4,20200317,66432.22,3307.45,553.6,120,Active
5,C-0000005,27,1239,3,20241002,209291.27,8483.62,1744.09,120,Active
6,C-0000006,38,1009,20,20250721,536262.83,5920.71,1489.62,360,Active
7,C-0000007,39,1120,16,20200214,123582.09,2236.01,,36,Completed
8,C-0000008,22,771,14,20230206,220271.17,3734.27,,60,Active
9,C-0000009,50,337,6,20230610,85716.65,3922.89,476.2,180,Active
10,C-0000010,47,1135,13,20241018,122888.82,2073.76,,60,Active
11,C-0000011,28,540,16,20230619,141439.34,2439.9,,12,Cancelled
12,C-0000012,22,126,20,20200312,573541.45,6346.74,3186.34,180,Active
13,C-0000013,45,699,12,20220831,88521.44,1941.85,,12,Active
14,C-0000014,16,481,12,20240715,104158.54,1713.57,,24,Active
15,C-0000015,2,1103,3,20220413,350197.19,14809.64,2918.31,120,Active
16,C-0000016,2,1426,14,20230417,142876.25,3316.34,,36,Active
17,C-0000017,7,1001,11,20200911,95678.92,1829.61,,120,Active
18,C-0000018,11,1260,11,20220204,125189.39,2815.72,,36,Cancelled
19,C-0000019,39,439,7,20220104,77058.0,3510.56,1284.3,60,Active
20,C-0000020,6,1470,19,20251128,381419.15,3395.98,1059.5,360,Active
21,C-0000021,35,875,11,20210621,69794.5,1432.98,,120,Completed
22,C-0000022,39,642,10,20210526,78172.73,2876.64,217.15,360,Active
23,C-0000023,12,39,20,20240524,460758.46,4923.78,1535.86,300,Active
24,C-0000024,34,549,6,20260724,88642.28,3138.58,246.23,360,Active
25,C-0000025,45,123,20,20230829,696942.25,8103.59,2323.14,300,Active
26,C-0000026,31,841,5,20220325,39854.22,1751.31,221.41,180,Completed
27,C-0000027,20,1324,3,20210215,260892.45,14849.83,1449.4,180,Active
28,C-0000028,2,503,8,20250731,63850.56,2159.23,532.09,120,Active
29,C-0000029,13,327,16,20211129,140836.6,2744.77,,12,Active
30,C-0000030,36,41,9,20200521,100507.25,3499.24,1675.12,60,Completed
31,C-0000031,26,1376,11,20240808,151196.74,3468.06,,60,Active
32,C-0000032,8,1069,5,20240826,39225.97,1613.58,130.75,300,Active
33,C-0000033,43,251,17,20250530,276265.64,3187.62,2302.21,120,Active
34,C-0000034,16,867,19,20210712,616065.45,6914.33,1711.29,360,Active
35,C-0000035,42,115,7,20230607,145638.9,5684.52,809.11,180,Active
36,C-0000036,16,569,4,20260226,140266.18,6799.49,389.63,360,Cancelled
37,C-0000037,2,1322,12,20261008,119855.0,2270.28,,36,Active
38,C-0000038,17,1132,2,20220909,282459.33,15754.47,2353.83,120,Active
